Workbook Title,Moon Sign Journey,Date Period Code,Further Details
From Bone to Heart,Capricorn → Leo,1,Structure shifting into expressive heart-based creativity; Bones/Knees → Heart/Solar Plexus
From Heart to Mind,Leo → Aquarius,1,Creative identity expanding into collective innovation; Heart/Solar Plexus → Nervous System/Higher Mind
From Mind to Gut,Aquarius → Virgo,1,Visionary concepts grounding through service and analysis; Higher Mind → Digestive System
From Gut to Soul,Virgo → Pisces,1,Precision dissolving into universal compassion; Gut Instinct → Feet/Etheric Body
From Soul to Balance,Pisces → Libra,1,Mystical awareness forming relational harmony; Etheric Body → Balance
From Balance to Fire,Libra → Aries,1,Harmony igniting bold individual action; Balance → Head/Initiation
From Fire to Depth,Aries → Scorpio,1,Raw energy deepening into transformative power; Head/Initiative → Reproductive Organs/Shadow
From Depth to Root,Scorpio → Taurus,1,Hidden power grounding into embodied voice; Shadow/Power → Throat/Voice
From Root to Vision,Taurus → Sagittarius,1,Stability opening into philosophical exploration; Throat/Stability → Hips/Expansion
From Vision to Voice,Sagittarius → Gemini,1,Wisdom translated into communication; Hips/Expansion → Lungs/Communication
From Voice to Womb,Gemini → Cancer,1,Intellectual connection softening into emotional nourishment; Communication → Breast/Nurturing
From Womb to Bone,Cancer → Capricorn,1,Emotional grounding forming long-term structure; Nurturing → Knees/Bones
Heart Expanding to Mind,Leo → Aquarius,2,Creativity building toward visionary leadership; Heart/Solar Plexus → Higher Mind
Mind Manifesting Through Gut,Aquarius → Virgo,2,Innovation becoming practical implementation; Higher Mind → Digestive System
Gut Flowing to Soul,Virgo → Pisces,2,Practical wisdom flowing into spiritual unity; Digestive System → Feet/Etheric Body
Soul Balancing Through Harmony,Pisces → Libra,2,Transcendence manifesting as relational harmony; Etheric Body → Balance
Balance Igniting to Fire,Libra → Aries,2,Diplomatic groundwork sparking courageous initiation; Balance → Head/Brain
Fire Deepening to Shadow,Aries → Scorpio,2,Action evolving into psychological mastery; Head/Initiative → Reproductive Organs/Transformation
Depth Rooting in Earth,Scorpio → Taurus,2,Transformed power grounding into tangible embodiment; Shadow → Throat/Stability
Root Expanding to Vision,Taurus → Sagittarius,2,Embodied values evolving into philosophical wisdom; Throat/Stability → Hips/Expansion
Vision Speaking Through Voice,Sagittarius → Gemini,2,Grand vision becoming articulate expression; Hips/Philosophy → Lungs/Communication
Voice Nourishing to Womb,Gemini → Cancer,2,Communication ripening into emotional sanctuary; Communication → Breast/Nurturing
Womb Structuring to Bone,Cancer → Capricorn,2,Care forming long-term foundations; Nurturing → Knees/Bones
Bone Warming to Heart,Capricorn → Leo,2,Structure growing into joyful expression; Knees/Bones → Heart/Solar Plexus
Virgo–Aries Eclipse Portal,Virgo → Aries,3,Eclipse transformation: releasing perfectionism for bold initiation; Analysis → Head/Initiative
Pisces–Virgo Eclipse Portal,Pisces → Virgo,3,Eclipse completion: spiritual insight grounding into service; Etheric Body → Digestive System
